group_id,nb_techniques,name,aliases
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,41,RedCurl,RedCurl
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,41,Fox Kitten,"Fox Kitten, UNC757, Parisite, Pioneer Kitten, RUBIDIUM, Lemon Sandstorm"
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,40,FIN6,"FIN6, Magecart Group 6, ITG08, Skeleton Spider, TAAL, Camouflage Tempest"
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,40,Tropic Trooper,"Tropic Trooper, Pirate Panda, KeyBoy"
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,40,BRONZE BUTLER,"BRONZE BUTLER, REDBALDKNIGHT, Tick"
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,38,APT-C-36,"APT-C-36, Blind Eagle, TAG-144, AguilaCiega, APT-Q-98"
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,36,Rocke,Rocke
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,36,HEXANE,"HEXANE, Lyceum, Siamesekitten, Spirlin"
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,36,FIN8,"FIN8, Syssphinx"
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,35,Aquatic Panda,Aquatic Panda
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,34,TA505,"TA505, Hive0065, Spandex Tempest, CHIMBORAZO"
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,34,Cobalt Group,"Cobalt Group, GOLD KINGSWOOD, Cobalt Gang, Cobalt Spider"
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,33,Indrik Spider,"Indrik Spider, Evil Corp, Manatee Tempest, DEV-0243, UNC2165"
intrusion-set--c0291346-defe-48d7-9542-9e074ba1bdfb,32,APT42,APT42
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,31,GALLIUM,"GALLIUM, Granite Typhoon"
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,31,Storm-1811,Storm-1811
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,31,APT33,"APT33, HOLMIUM, Elfin, Peach Sandstorm"
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,30,Sidewinder,"Sidewinder, T-APT-04, Rattlesnake"
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,30,Moonstone Sleet,"Moonstone Sleet, Storm-1789"
intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b,29,ZIRCONIUM,"ZIRCONIUM, APT31, Violet Typhoon"
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,29,APT37,"APT37, InkySquid, ScarCruft, Reaper, Group123, TEMP.Reaper, Ricochet Chollima"
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,29,APT5,"APT5, Mulberry Typhoon, MANGANESE, BRONZE FLEETWOOD, Keyhole Panda, UNC2630"
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,28,TA2541,TA2541
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,28,Higaisa,Higaisa
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,28,LuminousMoth,LuminousMoth
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,28,Silence,"Silence, Whisper Spider"
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,27,Sea Turtle,"Sea Turtle, Teal Kurma, Marbled Dust, Cosmic Wolf, SILICON"
intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,27,Winter Vivern,"Winter Vivern, TA473, UAC-0114"
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,26,Play,Play
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,26,WIRTE,"WIRTE, Ashen Lepus"
intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,25,ToddyCat,ToddyCat
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,25,INC Ransom,"INC Ransom, GOLD IONIC"
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,24,Darkhotel,"Darkhotel, DUBNIUM, Zigzag Hail"
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,23,APT1,"APT1, Comment Crew, Comment Group, Comment Panda"
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,22,Blue Mockingbird,Blue Mockingbird
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,22,Agrius,"Agrius, Pink Sandstorm, AMERICIUM, Agonizing Serpens, BlackShadow"
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,22,Velvet Ant,Velvet Ant
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,22,Inception,"Inception, Inception Framework, Cloud Atlas"
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,21,Lotus Blossom,"Lotus Blossom, DRAGONFISH, Spring Dragon, RADIUM, Raspberry Typhoon, Bilbug, Thrip"
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,21,APT19,"APT19, Codoso, C0d0so0, Codoso Team, Sunshop Group"
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,20,Star Blizzard,"Star Blizzard, SEABORGIUM, Callisto Group, TA446, COLDRIVER"
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,20,LazyScripter,LazyScripter
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,19,CURIUM,"CURIUM, Crimson Sandstorm, TA456, Tortoise Shell, Yellow Liderc"
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,19,Confucius,"Confucius, Confucius APT"
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,19,Cinnamon Tempest,"Cinnamon Tempest, DEV-0401, Emperor Dragonfly, BRONZE STARLIGHT"
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,19,Windshift,"Windshift, Bahamut"
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,18,Saint Bear,"Saint Bear, Storm-0587, TA471, UAC-0056, Lorec53"
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,17,Leafminer,"Leafminer, Raspite"
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,17,Akira,"Akira, GOLD SAHARA, PUNK SPIDER, Howling Scorpius"
intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,17,Daggerfly,"Daggerfly, Evasive Panda, BRONZE HIGHLAND"
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,16,SideCopy,SideCopy
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,16,Gorgon Group,Gorgon Group
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,16,BITTER,"BITTER, T-APT-17"
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,16,Stealth Falcon,Stealth Falcon
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,16,Axiom,"Axiom, Group 72"
