group_name,technique_id,attack_id,technique,tactic,platforms
APT41,attack-pattern--3e6831b2-bf4c-4ae6-b328-2e7c6633b291,T1098.007,Additional Local or Domain Groups,persistence,"Windows, macOS, Linux"
APT41,attack-pattern--3e6831b2-bf4c-4ae6-b328-2e7c6633b291,T1098.007,Additional Local or Domain Groups,privilege-escalation,"Windows, macOS, Linux"
APT41,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541,T1021.002,SMB/Windows Admin Shares,lateral-movement,Windows
Lazarus Group,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,T1012,Query Registry,discovery,Windows
Lazarus Group,attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3,T1090.002,External Proxy,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,T1027.013,Encrypted/Encoded File,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--fde016f6-211a-41c8-a4ab-301f1e419c62,T1669,Wi-Fi Networks,initial-access,"Linux, Network Devices, Windows, macOS"
Lazarus Group,attack-pattern--84e02621-8fdf-470f-bd58-993bb6a89d91,T1104,Multi-Stage Channels,command-and-control,"Linux, macOS, Windows, ESXi"
APT41,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,T1037,Boot or Logon Initialization Scripts,persistence,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,T1037,Boot or Logon Initialization Scripts,privilege-escalation,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,T1046,Network Service Discovery,discovery,"Containers, IaaS, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,T1005,Data from Local System,collection,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--635cbe30-392d-4e27-978e-66774357c762,T1136.001,Local Account,persistence,"Containers, ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--20fb2507-d71c-455d-9b6d-6104461cf26b,T1489,Service Stop,impact,"ESXi, IaaS, Linux, macOS, Windows"
