group_name,technique_id,attack_id,technique,tactic,platforms
Lazarus Group,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c,T1110.003,Password Spraying,credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS"
Lazarus Group,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,T1204.002,Malicious File,execution,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082,T1553.002,Code Signing,defense-impairment,"macOS, Windows"
APT41,attack-pattern--118f61a5-eb3e-4fb6-931f-2096647f4ecd,T1568.002,Domain Generation Algorithms,command-and-control,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--f1951e8a-500e-4a26-8803-76d95c4554b4,T1569.002,Service Execution,execution,Windows
APT41,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,T1071.004,DNS,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,T1071.001,Web Protocols,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,T1046,Network Service Discovery,discovery,"Containers, IaaS, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4,T1218,System Binary Proxy Execution,stealth,"Linux, macOS, Windows"
APT41,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,T1560.001,Archive via Utility,collection,"Linux, macOS, Windows"
APT41,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,T1218.011,Rundll32,stealth,Windows
Lazarus Group,attack-pattern--41868330-6ee2-4d0f-b743-9f2294c3c9b6,T1560.002,Archive via Library,collection,"Linux, macOS, Windows"
APT28,attack-pattern--d28ef391-8ed4-45dc-bc4a-2f43abf54416,T1213,Data from Information Repositories,collection,"Linux, Windows, macOS, SaaS, IaaS, Office Suite"
APT28,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,T1218.011,Rundll32,stealth,Windows
APT28,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,T1560.001,Archive via Utility,collection,"Linux, macOS, Windows"
APT28,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,T1140,Deobfuscate/Decode Files or Information,stealth,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--ea4c2f9c-9df1-477c-8c42-6da1118f2ac4,T1027.007,Dynamic API Resolution,stealth,Windows
APT41,attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7,T1102.001,Dead Drop Resolver,command-and-control,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--f24faf46-3b26-4dbb-98f2-63460498e433,T1008,Fallback Channels,command-and-control,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,T1070.004,File Deletion,stealth,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--f6dacc85-b37d-458e-b58d-74fc4bbf5755,T1090.001,Internal Proxy,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--2d3f5b3c-54ca-4f4d-bb1f-849346d31230,T1598.003,Spearphishing Link,reconnaissance,PRE
APT41,attack-pattern--3fc9b85a-2862-4363-a64d-d692e3ffbee0,T1555,Credentials from Password Stores,credential-access,"IaaS, Linux, macOS, Windows"
APT28,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,stealth,"Linux, Windows"
APT28,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,T1542.003,Bootkit,persistence,"Linux, Windows"
APT41,attack-pattern--a718a0c8-5768-41a1-9958-a1cc3f995e99,T1496.001,Compute Hijacking,impact,"Windows, IaaS, Linux, macOS, Containers"
APT28,attack-pattern--54b4c251-1f0e-4eba-ba6b-dbc7a6f6f06b,T1071.003,Mail Protocols,command-and-control,"Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,T1036,Masquerading,stealth,"Containers, ESXi, Linux, macOS, Windows"
APT28,attack-pattern--9db0cf3a-a3c9-4012-8268-123b9db6fd82,T1210,Exploitation of Remote Services,lateral-movement,"Linux, Windows, macOS, ESXi"
APT41,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24,T1003.003,NTDS,credential-access,Windows
APT28,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,T1014,Rootkit,stealth,"Linux, macOS, Windows"
APT41,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,T1049,System Network Connections Discovery,discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,T1059.004,Unix Shell,execution,"ESXi, Linux, macOS, Network Devices"
Lazarus Group,attack-pattern--f24faf46-3b26-4dbb-98f2-63460498e433,T1008,Fallback Channels,command-and-control,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,T1140,Deobfuscate/Decode Files or Information,stealth,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,T1204.002,Malicious File,execution,"Linux, macOS, Windows"
APT41,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0,T1486,Data Encrypted for Impact,impact,"ESXi, IaaS, Linux, macOS, Windows"
APT41,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,T1016,System Network Configuration Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--f005e783-57d4-4837-88ad-dbe7faee1c51,T1550.001,Application Access Token,lateral-movement,"Containers, IaaS, Identity Provider, Office Suite, SaaS"
APT41,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,T1033,System Owner/User Discovery,discovery,"Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--f2514ae4-4e9b-4f26-a5ba-c4ae85fe93c3,T1680,Local Storage Discovery,discovery,"ESXi, IaaS, Linux, macOS, Windows"
Lazarus Group,attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9,T1561.002,Disk Structure Wipe,impact,"Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,T1583.001,Domains,resource-development,PRE
APT41,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,T1105,Ingress Tool Transfer,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd,T1030,Data Transfer Size Limits,exfiltration,"Linux, macOS, Windows, ESXi"
APT28,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,T1134.001,Token Impersonation/Theft,stealth,Windows
APT28,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,T1134.001,Token Impersonation/Theft,privilege-escalation,Windows
Lazarus Group,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,execution,Windows
Lazarus Group,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,persistence,Windows
Lazarus Group,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,privilege-escalation,Windows
Lazarus Group,attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317,T1566.003,Spearphishing via Service,initial-access,"Linux, macOS, Windows"
APT41,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,T1203,Exploitation for Client Execution,execution,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,T1036.005,Match Legitimate Resource Name or Location,stealth,"Containers, ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,T1070,Indicator Removal,stealth,"Containers, ESXi, Linux, macOS, Network Devices, Office Suite, Windows"
Lazarus Group,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,T1083,File and Directory Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--359b00ad-9425-420b-bba5-6de8d600cbc0,T1074.002,Remote Data Staging,collection,"ESXi, IaaS, Linux, macOS, Windows"
Lazarus Group,attack-pattern--a4657bc9-d22f-47d2-a7b7-dd6ec33f3dde,T1574.013,KernelCallbackTable,stealth,Windows
Lazarus Group,attack-pattern--a4657bc9-d22f-47d2-a7b7-dd6ec33f3dde,T1574.013,KernelCallbackTable,execution,Windows
Lazarus Group,attack-pattern--f4599aa0-4f85-4a32-80ea-fc39dc965945,T1055.001,Dynamic-link Library Injection,stealth,Windows
Lazarus Group,attack-pattern--f4599aa0-4f85-4a32-80ea-fc39dc965945,T1055.001,Dynamic-link Library Injection,privilege-escalation,Windows
Lazarus Group,attack-pattern--b1ccd744-3f78-4a0e-9bb2-2002057f7928,T1585.001,Social Media Accounts,resource-development,PRE
APT41,attack-pattern--a6937325-9321-4e2e-bb2b-3ed2d40b2a9d,T1218.001,Compiled HTML File,stealth,Windows
APT28,attack-pattern--64196062-5210-42c3-9a02-563a0d1797ef,T1092,Communication Through Removable Media,command-and-control,"Linux, macOS, Windows"
APT28,attack-pattern--e74de37c-a829-446c-937d-56a44f0e9306,T1098.002,Additional Email Delegate Permissions,persistence,"Windows, Office Suite"
APT28,attack-pattern--e74de37c-a829-446c-937d-56a44f0e9306,T1098.002,Additional Email Delegate Permissions,privilege-escalation,"Windows, Office Suite"
Lazarus Group,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf,T1021.001,Remote Desktop Protocol,lateral-movement,Windows
APT28,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,T1003,OS Credential Dumping,credential-access,"Linux, macOS, Windows"
APT41,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,T1112,Modify Registry,defense-impairment,Windows
APT41,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,T1112,Modify Registry,persistence,Windows
APT41,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,T1090,Proxy,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,T1040,Network Sniffing,credential-access,"IaaS, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,T1040,Network Sniffing,discovery,"IaaS, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,T1003.001,LSASS Memory,credential-access,Windows
Lazarus Group,attack-pattern--ff73aa03-0090-4464-83ac-f89e233c02bc,T1529,System Shutdown/Reboot,impact,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,T1068,Exploitation for Privilege Escalation,privilege-escalation,"Containers, Linux, macOS, Windows"
APT41,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be,T1684.001,Impersonation,stealth,"Linux, macOS, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077,T1124,System Time Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--ed7efd4d-ce28-4a19-a8e6-c58011eb2c7a,T1137.002,Office Test,persistence,"Windows, Office Suite"
APT41,attack-pattern--cff94884-3b1c-4987-a70b-6d5643c621c3,T1213.003,Code Repositories,collection,SaaS
Lazarus Group,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,T1036.004,Masquerade Task or Service,stealth,"Linux, macOS, Windows"
APT41,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,T1197,BITS Jobs,stealth,Windows
APT41,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,T1197,BITS Jobs,persistence,Windows
APT41,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,T1197,BITS Jobs,execution,Windows
APT28,attack-pattern--890c9858-598c-401d-a4d5-c67ebcdd703a,T1528,Steal Application Access Token,credential-access,"Containers, IaaS, Identity Provider, Office Suite, SaaS"
Lazarus Group,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611,T1070.006,Timestomp,stealth,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,T1070.003,Clear Command History,stealth,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,T1012,Query Registry,discovery,Windows
APT28,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c,T1110.003,Password Spraying,credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS"
APT28,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,T1204.001,Malicious Link,execution,"Linux, macOS, Windows"
APT28,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,External Remote Services,persistence,"Containers, Linux, macOS, Windows"
APT28,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,External Remote Services,initial-access,"Containers, Linux, macOS, Windows"
APT41,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,T1083,File and Directory Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,T1102.002,Bidirectional Communication,command-and-control,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,T1574.001,DLL,stealth,Windows
Lazarus Group,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,T1574.001,DLL,execution,Windows
APT28,attack-pattern--f7c0689c-4dbd-489b-81be-7cb7c7079ade,T1001.001,Junk Data,command-and-control,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--75b9a4d2-d4e2-4ca1-9aab-1badd9e05fd0,T1685.005,Clear Windows Event Logs,defense-impairment,Windows
Lazarus Group,attack-pattern--291ede6c-1473-454c-b614-5ac5ea63c987,T1686.003,Windows Host Firewall,defense-impairment,Windows
APT41,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,T1055,Process Injection,stealth,"Linux, macOS, Windows"
APT41,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,T1055,Process Injection,privilege-escalation,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,T1543.003,Windows Service,persistence,Windows
Lazarus Group,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,T1543.003,Windows Service,privilege-escalation,Windows
APT28,attack-pattern--fe926152-f431-4baf-956c-4ad3cb0bf23b,T1211,Exploitation for Stealth,stealth,"Linux, Windows, macOS, SaaS, IaaS"
Lazarus Group,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541,T1021.002,SMB/Windows Admin Shares,lateral-movement,Windows
APT28,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,T1003.001,LSASS Memory,credential-access,Windows
APT41,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf,T1021.001,Remote Desktop Protocol,lateral-movement,Windows
APT41,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,T1190,Exploit Public-Facing Application,initial-access,"Containers, ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,T1573.001,Symmetric Cryptography,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c,T1074.001,Local Data Staging,collection,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4,T1091,Replication Through Removable Media,lateral-movement,Windows
APT28,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4,T1091,Replication Through Removable Media,initial-access,Windows
Lazarus Group,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a,T1585.002,Email Accounts,resource-development,PRE
APT41,attack-pattern--bf90d72c-c00b-45e3-b3aa-68560560d4c5,T1570,Lateral Tool Transfer,lateral-movement,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,T1027,Obfuscated Files or Information,stealth,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--0cc222f5-c3ff-48e6-9f52-3314baf9d37e,T1588.007,Artificial Intelligence,resource-development,PRE
APT41,attack-pattern--84e02621-8fdf-470f-bd58-993bb6a89d91,T1104,Multi-Stage Channels,command-and-control,"Linux, macOS, Windows, ESXi"
APT41,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd,T1030,Data Transfer Size Limits,exfiltration,"Linux, macOS, Windows, ESXi"
APT41,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,T1047,Windows Management Instrumentation,execution,Windows
Lazarus Group,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,T1049,System Network Connections Discovery,discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,collection,"Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,credential-access,"Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--143c0cbb-a297-4142-9624-87ffc778980b,T1560.003,Archive via Custom Method,collection,"Linux, macOS, Windows"
APT41,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,T1070.003,Clear Command History,stealth,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,T1110,Brute Force,credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT41,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,T1036.004,Masquerade Task or Service,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be,T1684.001,Impersonation,stealth,"Linux, macOS, Office Suite, SaaS, Windows"
APT28,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541,T1021.002,SMB/Windows Admin Shares,lateral-movement,Windows
APT41,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,T1574.001,DLL,stealth,Windows
APT41,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,T1574.001,DLL,execution,Windows
