group_id,group_name,nb_techniques,nb_utilisations
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,DarkVishnya,10,10
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,Deep Panda,10,10
intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,Elderwood,9,9
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,Carbanak,9,9
intrusion-set--64d5f96a-f121-4d19-89f6-6709f5c49faa,Aoqin Dragon,9,9
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,Whitefly,9,9
intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,Metador,9,9
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,GOLD SOUTHFIELD,9,9
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,Sowbug,9,9
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,Rancor,9,9
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,MoustachedBouncer,8,8
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,Poseidon Group,8,8
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,CopyKittens,8,8
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,Windigo,7,7
intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,POLONIUM,7,7
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,The White Company,7,7
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,DarkHydrus,7,7
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,RTM,7,7
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,IndigoZebra,7,7
intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,Nomadic Octopus,7,7
intrusion-set--13ef3485-70d2-4567-b934-0e83c1eafcf1,TA577,6,6
intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,Gallmaker,6,6
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,Ferocious Kitten,6,6
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,Mofang,6,6
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,Winnti Group,6,6
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,Ajax Security Team,6,6
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,RedEcho,5,5
intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d,Suckfly,5,5
intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,TA459,5,5
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,Cleaver,5,5
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,Volatile Cedar,5,5
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,APT12,5,5
intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,Putter Panda,4,4
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,Group5,4,4
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,SilverTerrier,4,4
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,Equation,4,4
intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,TA578,4,4
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,Threat Group-1314,4,4
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,Thrip,4,4
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,Strider,3,3
intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,Water Galura,3,3
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,APT17,2,2
intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,GCMAN,2,2
intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,AppleJeus,2,2
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,Orangeworm,2,2
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,APT30,2,2
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,PittyTiger,2,2
intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,Moafee,1,1
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,Scarlet Mimic,1,1
intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,APT16,1,1
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,BlackOasis,1,1
