id,name,aliases
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,Mustang Panda,"Mustang Panda, TA416, RedDelta, BRONZE PRESIDENT, STATELY TAURUS, FIREANT, CAMARO DRAGON, EARTH PRETA, HIVE0154, TWILL TYPHOON, TANTALUM, LUMINOUS MOTH, UNC6384, TEMP.Hex, Red Lich, ClumsyToad"
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,LAPSUS$,"LAPSUS$, DEV-0537, Strawberry Tempest"
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,Chimera,Chimera
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,TA2541,TA2541
intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,ToddyCat,ToddyCat
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,BITTER,"BITTER, T-APT-17"
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,RTM,RTM
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,menuPass,"menuPass, Cicada, POTASSIUM, Stone Panda, APT10, Red Apollo, CVNX, HOGFISH, BRONZE RIVERSIDE"
intrusion-set--28f04ed3-8e91-4805-b1f6-869020517871,Operation Wocao,Operation Wocao
intrusion-set--7b404cd0-3ae9-41d4-90c0-023793d35d97,Storm-0501,Storm-0501
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,Tropic Trooper,"Tropic Trooper, Pirate Panda, KeyBoy"
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,Mustard Tempest,"Mustard Tempest, DEV-0206, TA569, GOLD PRELUDE, UNC1543"
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,APT19,"APT19, Codoso, C0d0so0, Codoso Team, Sunshop Group"
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,Moses Staff,"Moses Staff, DEV-0500, Marigold Sandstorm"
intrusion-set--23b6a0f5-fa95-46f9-a6f3-4549c5e45ec8,Night Dragon,Night Dragon
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,Molerats,"Molerats, Operation Molerats, Gaza Cybergang"
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,Stealth Falcon,Stealth Falcon
intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f,MirrorFace,"MirrorFace, Earth Kasha"
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,DarkVishnya,DarkVishnya
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,APT37,"APT37, InkySquid, ScarCruft, Reaper, Group123, TEMP.Reaper, Ricochet Chollima"
intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559,VOID MANTICORE,"VOID MANTICORE, COBALT MYSTIQUE, Handala Hack, Homeland Justice, Karma, Karmabelow80, BANISHED KITTEN, Red Sandstorm"
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,Threat Group-1314,"Threat Group-1314, TG-1314"
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,APT41,"APT41, Wicked Panda, Brass Typhoon, BARIUM"
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,INC Ransom,"INC Ransom, GOLD IONIC"
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,FIN13,"FIN13, Elephant Beetle"
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,Group5,Group5
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,PLATINUM,PLATINUM
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,GALLIUM,"GALLIUM, Granite Typhoon"
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,FIN10,FIN10
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,Winnti Group,"Winnti Group, Blackfly"
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,FIN8,"FIN8, Syssphinx"
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,Rocke,Rocke
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,RedEcho,RedEcho
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,Saint Bear,"Saint Bear, Storm-0587, TA471, UAC-0056, Lorec53"
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,Scattered Spider,"Scattered Spider, Roasted 0ktapus, Octo Tempest, Storm-0875, UNC3944"
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,CURIUM,"CURIUM, Crimson Sandstorm, TA456, Tortoise Shell, Yellow Liderc"
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,Windigo,Windigo
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,Blue Mockingbird,Blue Mockingbird
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,RedCurl,RedCurl
intrusion-set--bb82e0b0-6e9c-439f-970a-4c917a74c5f2,CostaRicto,CostaRicto
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,FIN4,FIN4
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,Contagious Interview,"Contagious Interview, DeceptiveDevelopment, Gwisin Gang, Tenacious Pungsan, DEV#POPPER, PurpleBravo, TAG-121"
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,Gorgon Group,Gorgon Group
intrusion-set--76d59913-1d24-4992-a8ac-05a3eb093f71,Dragonfly 2.0,"Dragonfly 2.0, IRON LIBERTY, DYMALLOY, Berserk Bear"
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,Sidewinder,"Sidewinder, T-APT-04, Rattlesnake"
intrusion-set--99910207-1741-4da1-9b5d-537410186b51,Gelsemium,Gelsemium
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,Higaisa,Higaisa
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,APT30,APT30
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,Windshift,"Windshift, Bahamut"
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,Confucius,"Confucius, Confucius APT"
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,BlackByte,"BlackByte, Hecamede"
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,Threat Group-3390,"Threat Group-3390, Earth Smilodon, TG-3390, Emissary Panda, BRONZE UNION, APT27, Iron Tiger, LuckyMouse, Linen Typhoon"
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,Salt Typhoon,Salt Typhoon
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,Tonto Team,"Tonto Team, Earth Akhlut, BRONZE HUNTLEY, CactusPete, Karma Panda"
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,Gamaredon Group,"Gamaredon Group, IRON TILDEN, Primitive Bear, ACTINIUM, Armageddon, Shuckworm, DEV-0157, Aqua Blizzard, NastyShrew"
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,Agrius,"Agrius, Pink Sandstorm, AMERICIUM, Agonizing Serpens, BlackShadow"
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,Sea Turtle,"Sea Turtle, Teal Kurma, Marbled Dust, Cosmic Wolf, SILICON"
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,Rancor,Rancor
